Key,Source,Context,Changes,English
farmLifeAppleCiderDesc,items,Item,KgNone,Libations will get you going but please use responsibly. Death can occur from overuse.
farmLifeAppleJuiceDesc,items,Item,KgNone,Use the Veggie Attachment on a Kitchnaid. Yummy drink. Fill you up but wont slow you down.
farmLifeApplePieDesc,items,Item,KgNone,Use the Pyrex Bakeware on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeAppleWoodPlankDesc,items,Item,KgNone,These Apple Wood Planks are used in crafting, can be turned into Wood Ash, or shredded into wood chips for grilling and smoking.
farmLifeAppleWoodchipsDesc,items,Item,KgNone,Use a Tablesaw. An ingredient used for crafting yummy meals or drinks.
farmLifeApplesandCreamDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeAvocadoDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeAvocadoSpinachSaladDesc,items,Item,KgNone,Use a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBBQElkJerkyDesc,items,Item,KgNone,Use the Smoker Mat on a Cold Smoker. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBBQPorkRibsDesc,items,Item,KgNone,Use the Tongs on a Wood Grill. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBakedRigatoniDesc,items,Item,KgNone,Use the Pyrex Bakeware on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBakedRigatoniStep1Desc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeBakedRigatoniStep2Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeBakingSheetDesc,items,Item,KgNone,Use the Anvil on a Forge. The Baking Sheet is a tool used in the Gas Oven for crafting.
farmLifeBananaDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBanannaBreadDesc,items,Item,KgNone,Use the Pyrex Bakeware on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBanannaBreadStep1Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeBanannaBreadStep2Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeBarleyDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBarleyMaltDesc,items,Item,KgNone,Use the Drying Pan on a Brew Cooker. Malt is an essential ingredient for brewing beer and spirits.
farmLifeBarrelRoasterDesc,items,Item,KgNone,Use a Workbench. The Barrel Roaster is a tool used in the Brew Cooker for crafting.
farmLifeBasilDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBechamelDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBeefChiliDesc,items,Item,KgNone,Use the Ceramic Dutch Oven on a Wood Grill. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBeefChiliStep1Desc,items,Item,KgNone,Use the Ceramic Dutch Oven on a Wood Grill. An ingredient used for crafting yummy meals or drinks.
farmLifeBeefChiliStep2Desc,items,Item,KgNone,Use the Ceramic Dutch Oven on a Wood Grill. An ingredient used for crafting yummy meals or drinks.
farmLifeBeefChiliStep3Desc,items,Item,KgNone,An ingredient used for crafting yummy meals or drinks.
farmLifeBeefTacoDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBeerCheapDesc,items,Item,KgNone,Use the Bottle Capper on a Brew Station. Libations will get you going but please use responsibly. Death can occur from overuse.
farmLifeBeerCheapMashDesc,items,Item,KgNone,Use the Masher on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeBeerCheapRawDesc,items,Item,KgNone,Use the Carboy on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeBeerCheapWortDesc,items,Item,KgNone,Use the Boiler on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeBeerDoubleIPADesc,items,Item,KgNone,Use the Bottle Capper on a Brew Station. Libations will get you going but please use responsibly. Death can occur from overuse.
farmLifeBeerIPADesc,items,Item,KgNone,Use the Bottle Capper on a Brew Station. Libations will get you going but please use responsibly. Death can occur from overuse.
farmLifeBeerIPAMashDesc,items,Item,KgNone,Use the Masher on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeBeerIPARawDesc,items,Item,KgNone,Use the Carboy on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeBeerIPAWortDesc,items,Item,KgNone,Use the Boiler on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeBeerLagerDesc,items,Item,KgNone,Use the Bottle Capper on a Brew Station. Libations will get you going but please use responsibly. Death can occur from overuse.
farmLifeBeerLagerMashDesc,items,Item,KgNone,Use the Masher on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeBeerLagerRawDesc,items,Item,KgNone,Use the Carboy on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeBeerLagerWortDesc,items,Item,KgNone,Use the Boiler on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeBeerStoutDesc,items,Item,KgNone,Use the Bottle Capper on a Brew Station. Libations will get you going but please use responsibly. Death can occur from overuse.
farmLifeBeerStoutMashDesc,items,Item,KgNone,Use the Masher on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeBeerStoutRawDesc,items,Item,KgNone,Use the Carboy on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeBeerStoutWortDesc,items,Item,KgNone,Use the Boiler on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeBeetDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBeetJuiceDesc,items,Item,KgNone,Use the Veggie Attachment on a Kitchnaid. Yummy drink. Fill you up but wont slow you down.
farmLifeBeetSaladDesc,items,Item,KgNone,Use the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBeetSaladStep1Desc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeBiscuitDesc,items,Item,KgNone,Use the Baking Sheet on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBiscuitStep1Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeBiscuitStep2Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeBiscuitStep3Desc,items,Item,KgNone,Use the Pizza Cutter on a Chopping Board. An ingredient used for crafting yummy meals or drinks.
farmLifeBiscuitsandGravyDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBitterHopsDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBlackBeanDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBlackPepperDesc,items,Item,KgNone,Adds necessary flavor to sooo many recipes.
farmLifeBlackPepperCornDesc,items,Item,KgNone,Used for cooking. Can be scrapped into Black Pepper.
farmLifeBlackPepperTinDesc,items,Item,KgNone,Scrap me into Black Pepper.
farmLifeBlueberryIceCreamDesc,items,Item,KgNone,Use the Ice Cream Bowl on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBoiledEggNoodlesDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeBoiledLinguiniDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBoiledPenneDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBoiledRigatoniDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBoiledSpaghettiDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBoilerDesc,items,Item,KgNone,Use the Anvil on a Forge. The Boiler is a tool used in the Brew Cooker for crafting.
farmLifeBologneseDishDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBologneseSauceDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBologneseSauceStep1Desc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeBologneseSauceStep2Desc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeBologneseSauceStep3Desc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeBottleCapDesc,items,Item,KgNone,Unlike Fallout, you just need this for bottling special beers. Necessary component for crafting Double IPA.
farmLifeBottleCapperDesc,items,Item,KgNone,Use a Workbench. The Bottle Capper is a tool used in the Brew Station for crafting.
farmLifeBourbonDesc,items,Item,KgNone,Use the Mixing Cask on a Brew Station. Libations will get you going but please use responsibly. Death can occur from overuse.
farmLifeBourbonMashDesc,items,Item,KgNone,Use the Masher on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeBowlofRiceDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBrazilianGrilledPineappleDesc,items,Item,KgNone,Use the Turkey Rack on a Cold Smoker. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBreadDoughDesc,items,Item,KgNone,Use the Dough Hook on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeBreadcrumbsDesc,items,Item,KgNone,Use the Food Processor on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeBreadcrumbsStep1Desc,items,Item,KgNone,Use the Baking Sheet on a Gas Oven. An ingredient used for crafting yummy meals or drinks.
farmLifeBrinedCoffeeElkDesc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeBrinedSpicyElkDesc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeBrineyWaterDesc,items,Item,KgNone,An ingredient used for crafting yummy meals or drinks.
farmLifeBroccoliDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBrusselsSproutsDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeBulleeetMashDesc,items,Item,KgNone,Use the Masher on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeBulleeetRyeDesc,items,Item,KgNone,Use the Mixing Cask on a Brew Station. Libations will get you going but please use responsibly. Death can occur from overuse.
farmLifeBurgerBasketDesc,items,Item,KgNone,Use a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeButterDesc,items,Item,KgNone,Where’s my butter churner!
farmLifeButteryDelmonticoDesc,items,Item,KgNone,Use the Tongs on a Wood Grill. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCabbageDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCabernetSauvignonDesc,items,Item,KgNone,Use the Floor Corker on a Brew Station. Libations will get you going but please use responsibly. Death can occur from overuse.
farmLifeCalfStomacheDesc,items,Item,KgNone,You will need this if you have any chance at making cheese.
farmLifeCannedOlivesDesc,items,Item,KgNone,You really made these?
farmLifeCarboyDesc,items,Item,KgNone,Use the Anddieset on a Forge. The Carboy is a tool used in the Brew Station for crafting.
farmLifeCarrotDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCasteIronSkilletDesc,items,Item,KgNone,Use the Forgecrucible on a Forge. The Caste Iron Skillet is a tool used in the Gas Cooktop for crafting.
farmLifeCattleFeedDesc,items,Item,KgNone,Cattle Feed
farmLifeCeleryDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCeramicDutchOvenDesc,items,Item,KgNone,Use the Anddieset on a Forge. The Ceramic Dutch Oven is a tool used in the Wood Grill for crafting.
farmLifeChardonneDesc,items,Item,KgNone,Use the Floor Corker on a Brew Station. Libations will get you going but please use responsibly. Death can occur from overuse.
farmLifeCharredBarrelDesc,items,Item,KgNone,Use the Barrel Roaster on a Brew Cooker. The Charred Barrel is a tool used in the Brew Station for crafting.
farmLifeCheddarDesc,items,Item,KgNone,Use the Zhang Cleaver on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCheddarStep1Desc,items,Item,KgNone,Use the Boiler on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeCheddarStep2Desc,items,Item,KgNone,Use the Boiler on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeCheddarStep3Desc,items,Item,KgNone,Use the Zhang Cleaver on a Chopping Board. An ingredient used for crafting yummy meals or drinks.
farmLifeCheddarStep4Desc,items,Item,KgNone,Use the Cheese Press on a Fermentor Bench. An ingredient used for crafting yummy meals or drinks.
farmLifeCheddarStep5Desc,items,Item,KgNone,Use a Fermentor Bench. An ingredient used for crafting yummy meals or drinks.
farmLifeCheeseClothDesc,items,Item,KgNone,Use a Workbench. An ingredient used for crafting yummy meals or drinks.
farmLifeCheeseCultureDesc,items,Item,KgNone,Use a Fermentor Bench. An ingredient used for crafting yummy meals or drinks.
farmLifeCheesePizzaDesc,items,Item,KgNone,Use the Pizza Stone on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCheesePressDesc,items,Item,KgNone,Use a Workbench. The Cheese Press are a tool used in the Fermentor Bench for crafting.
farmLifeCheeseburgerDesc,items,Item,KgNone,Use the Spatula on a Wood Grill. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCherryDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCherryIceCreamDesc,items,Item,KgNone,Use the Ice Cream Bowl on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCherryPieDesc,items,Item,KgNone,Use the Pyrex Bakeware on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCherryWoodPlankDesc,items,Item,KgNone,These Cherry Wood Planks are used in crafting, can be turned into Wood Ash, or shredded into wood chips for grilling and smoking.
farmLifeCherryWoodchipsDesc,items,Item,KgNone,Use a Tablesaw. An ingredient used for crafting yummy meals or drinks.
farmLifeChickenBreastDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeChickenFeedDesc,items,Item,KgNone,Chicken Feed
farmLifeChickenStockDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeChickenTamaleDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeChickenTamaleStep1Desc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeChickenTamaleStep2Desc,items,Item,KgNone,Use the Food Processor on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeChickenTamaleStep3Desc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeChickenTamaleStep4Desc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeChickenTamaleStep5Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeChickenWingDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeChileRellenoDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeChileRellenoStep1Desc,items,Item,KgNone,Use the Baking Sheet on a Gas Oven. An ingredient used for crafting yummy meals or drinks.
farmLifeChileRellenoStep2Desc,items,Item,KgNone,Use the Damascus Knife on a Chopping Board. An ingredient used for crafting yummy meals or drinks.
farmLifeChileRellenoStep3Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeChilledCucumberStep1Desc,items,Item,KgNone,Use the Food Processor on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeChilledCucumberYogurtSoupDesc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeChipsandSalsaDesc,items,Item,KgNone,Use a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeChoppedRomaineDesc,items,Item,KgNone,Use the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeChoppedWalnutsDesc,items,Item,KgNone,Use the Food Processor on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCilantroDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCinnamonBarkDesc,items,Item,KgNone,An ingredient used for crafting yummy meals or drinks.
farmLifeClayPotDesc,items,Item,KgNone,Use the Forgecrucible on a Forge. The Clay Pot is a tool used in the Fermentor Bench for crafting.
farmLifeCoconutDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCoconutIceCreamDesc,items,Item,KgNone,Use the Ice Cream Bowl on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCoffeeElkJerkyDesc,items,Item,KgNone,Use the Smoker Mat on a Cold Smoker. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCookedBaconDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCookedBlackBeanDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCookedHamDesc,items,Item,KgNone,Use the Pyrex Bakeware on a Gas Oven. An ingredient used for crafting yummy meals or drinks.
farmLifeCookedKidneyBeanDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCookedPintoBeanDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCookingVinegarDesc,items,Item,KgNone,An ingredient used for crafting yummy meals or drinks.
farmLifeCornHuskDesc,items,Item,KgNone,Used in the preparation of several different kinds of food. Can be dried and used for recipes like Tamales.
farmLifeCornMasaDesc,items,Item,KgNone,Use the Grain Miller on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeCornMasaStep1Desc,items,Item,KgNone,Use the Boiler on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeCornMasaStep2Desc,items,Item,KgNone,Use the Drying Pan on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeCornTortillasDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCornTortillasStep1Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeCornTortillasStep2Desc,items,Item,KgNone,Use the Pasta Helper on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeCountryBoyBreakfastDesc,items,Item,KgNone,Use a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCrunchyCeleryDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCrushedTomatoDesc,items,Item,KgNone,Use the Veggie Attachment on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCucumberDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCuminDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeCuredHamDesc,items,Item,KgNone,Use the Meat Hanger on a Cold Smoker. An ingredient used for crafting yummy meals or drinks.
farmLifeCuredPancettaDesc,items,Item,KgNone,An ingredient used for crafting yummy meals or drinks.
farmLifeCutGreenBeansDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeDamascusBladeDesc,items,Item,KgNone,Use the Anvil on a Forge. An ingredient used for crafting yummy meals or drinks.
farmLifeDamascusHandleDesc,items,Item,KgNone,Use a Workbench. An ingredient used for crafting yummy meals or drinks.
farmLifeDamascusKnifeDesc,items,Item,KgNone,Use a Workbench. The Damascus Knife is a tool used in the Chopping Board for crafting.
farmLifeDarkMaltDesc,items,Item,KgNone,Use the Drying Pan on a Brew Cooker. Malt is an essential ingredient for brewing beer and spirits.
farmLifeDelmonticoDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeDenverOmeletteDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeDenverOmeletteStep1Desc,items,Item,KgNone,Use a Chopping Board. An ingredient used for crafting yummy meals or drinks.
farmLifeDicedCarrotDesc,items,Item,KgNone,Use the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeDicedCeleryDesc,items,Item,KgNone,Use the Damascus Knife on a Chopping Board. An ingredient used for crafting yummy meals or drinks.
farmLifeDicedCilantroDesc,items,Item,KgNone,Use the Food Processor on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeDicedDillDesc,items,Item,KgNone,Use the Food Processor on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeDicedGreenPeppersDesc,items,Item,KgNone,Use the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeDicedHamDesc,items,Item,KgNone,Use the Damascus Knife on a Chopping Board. An ingredient used for crafting yummy meals or drinks.
farmLifeDicedMintDesc,items,Item,KgNone,Use the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeDicedOnionsDesc,items,Item,KgNone,Use the Damascus Knife on a Chopping Board. An ingredient used for crafting yummy meals or drinks.
farmLifeDicedTomatosDesc,items,Item,KgNone,Use the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeDillDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeDistilledBourbonDesc,items,Item,KgNone,Use the Still on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeDistilledBulleeetDesc,items,Item,KgNone,Use the Still on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeDistilledScotchDesc,items,Item,KgNone,Use the Still on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeDistilledVodkaDesc,items,Item,KgNone,Use the Still on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeDistilledWhiskeyDesc,items,Item,KgNone,Use the Still on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeDistilledWhiteRumDesc,items,Item,KgNone,Use the Still on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeDoubleIPAMashDesc,items,Item,KgNone,Use the Masher on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeDoubleIPARawDesc,items,Item,KgNone,Use the Carboy on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeDoubleIPAWortDesc,items,Item,KgNone,Use the Boiler on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
farmLifeDoughHookDesc,items,Item,KgNone,Use the Anvil on a Forge. The Dough Hook is a tool used in the KitchNaid for crafting.
farmLifeDriedHuskDesc,items,Item,KgNone,Required to make Tamales.
farmLifeDryingPanDesc,items,Item,KgNone,Use the Anvil on a Forge. The Drying Pan is a tool used in the Brew Cooker for crafting.
farmLifeEggNoodleSoupDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeEggNoodleSoupStep1Desc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeEggNoodlesDesc,items,Item,KgNone,Use the Drying Pan on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.
