Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish

Aged Bourbon,,item,Food,newKey,Aged Bourbon,,Gereifter Bourbon
farmLifeAirofScotlandDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nThere is something special about the Scottish air. Without it - the world would never know what true Scotch tastes like. Necessary component for crafting Scotch.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nDie schottische Luft hat etwas Besonderes. Ohne sie wüsste die Welt nicht, wie echter Scotch schmeckt. Notwendige Komponente für die Herstellung von Scotch."
Alkaline Solution,,item,Food,newKey,Alkaline Solution,,Alkanische Lösung
farmLifeAlkalineSolutionDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse a Brew Cooker. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze den Brühkocher. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
AnimalBreedingKit,,item,Food,newKey,Animal Breeding Kit,,Tierzucht-Set,
AnimalBreedingKitDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Resource [FF684F](Farm Table required to craft.)\nMaterial: [c7b992]Organic\nUnlocked by: [c7b992]Farm Life\n\nAnimal Breeding Kit. We all know Breeding isn't a thing in 7D2D, but a way was needed to breed and food didn't seem the way to do it.",,"Type: [c7b992]Farm Life Resource [FF684F](Farm Table required to craft.)\nMaterial: [c7b992]Organic\nUnlocked by: [c7b992]Farm Life\n\nTierzucht-Kit. Wir alle wissen, dass Züchten in 7D2D nicht möglich ist, aber wir haben einen Weg gefunden!"
American Fries,,item,Food,newKey,American Fries,,Amerikanische Fritten
farmLifeAmericanFriesDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cast Iron Skillet with a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nVerwende die Gusseisenpfanne im Gasofen. Einige leckere Häppchen, die Sie definitiv gegen die Zombie-Apokalypse antreiben werden."
American Fries Step 1,,item,Food,newKey,American Fries Step 1,,Amerikanische Fritten (Schritt 1)
farmLifeAmericanFriesStep1Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Damascus Knife on a Chopping Board. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nHacke die Kartoffeln auf dem Hackbrett! Einige leckere Häppchen, die Sie definitiv gegen die Zombie-Apokalypse antreiben werden."
Ancho Pepper,,item,Food,newKey,Ancho Pepper,,Getrockneter Poblanopfeffer
farmLifeAnchoPepperDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nEin leckerer Happen der dich stark gegen die Zombie-Apokalypse macht."
Apple,,item,Food,newKey,Apple,,Apfel
farmLifeAppleDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nGesund und vital gegen Zombies!"
Apple Cider,,item,Food,newKey,Apple Cider,,Apfelwein
farmLifeAppleCiderDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nLibations will get you going but please use responsibly. Death can occur from overuse.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nOriginal Apfelwein aus Hessen! Gehe verantwortungsbewusst damit um, sonst kannst du sterben."
Apple Juice,,item,Food,newKey,Apple Juice,,Apfelsaft
farmLifeAppleJuiceDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Veggie Attachment on a Kitchnaid. Yummy drink. Fill you up but wont slow you down.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze den Gemüseaufsatz für die Küchenmaschine."
Apple Pie,,item,Food,newKey,Apple Pie,,Apfelkuchen
farmLifeApplePieDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Pyrex Bakeware on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenötigt die Pyrex-Backform für den Gasofen. Ein leckerer Snack."
Apple Wood Plank,,item,Food,newKey,Apple Wood Plank,,Apfelholzbrett
farmLifeAppleWoodPlankDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nThese Apple Wood Planks are used in crafting, can be turned into Wood Ash, or shredded into wood chips for grilling and smoking.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nApfelholzbretter werden zum Herstellen von Gegenständen verwendet, können in Holzasche verwandelt oder zum Grillen und Räuchern zu Holzspänen zerkleinert werden."
Apple Woodchips,,item,Food,newKey,Apple Woodchips,,Apfelholzspäne
farmLifeAppleWoodchipsDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\n An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\n Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Apples and Cream,,item,Food,newKey,Apples and Cream,,Äpfel mit Sahne
farmLifeApplesandCreamDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cast Iron Skillet with a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nVerwende die Gusseisenpfanne im Gasofen. Ein leckeres Häppchen, das dicg definitiv für die Zombie-Apokalypse bereit machen wird."
Avocado,,item,Food,newKey,Avocado,,Avocadofrucht
farmLifeAvocadoDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nEin leckerer Snack"
Avocado Spinach Salad,,item,Food,newKey,Avocado Spinach Salad,,Avocado-Spinat Salat
farmLifeAvocadoSpinachSaladDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nNutze das Hackbrett um diesen Leckerbissen herzustellen."
BBQ Elk Jerky,,item,Food,newKey,BBQ Elk Jerky,,Gegrilltes Elchtrockenfleisch
farmLifeBBQElkJerkyDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Smoker Mat on a Cold Smoker. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze die Smoker-Matte im Kalträucherschrank für dieses Rezept."
BBQ Pork Ribs,,item,Food,newKey,BBQ Pork Ribs,,Gegrillte Schweinerippchen
farmLifeBBQPorkRibsDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Tongs on a Wood Grill. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nMit der Grillzange auf dem Holzkohlegrill herstellen. Auf den Punkt gegrillt!"
Baked Rigatoni,,item,Food,newKey,Baked Rigatoni,,Gebackene Rigatoni
farmLifeBakedRigatoniDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Pyrex Bakeware on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nWird in der Pyrex-Backform im Ofen gebacken."
Baked Rigatoni Step 1,,item,Food,newKey,Baked Rigatoni Step 1,,Gebackene Rigatoni (Schritt 1)
farmLifeBakedRigatoniStep1Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cast Iron Skillet on a Gas Oven. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nZuerst alles in der Gusseisenpfanne auf dem Ofen anbraten."
Baked Rigatoni Step 2,,item,Food,newKey,Baked Rigatoni Step 2,,Gebackene Rigatoni (Schritt 2)
farmLifeBakedRigatoniStep2Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nFür Stufe 2 benötigst du die Rührschüssel für die Küchenmaschine."
Baking Sheet,,item,Food,newKey,Baking Sheet,,Backblech
farmLifeBakingSheetDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Anvil on a Forge. The Baking Sheet is a tool used in the Gas Oven for crafting.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nWird in der Schmiede (Amboss benötigt) hergestellt. Das Backblech ist ein Werkzeug für den Gasofen."
Banana,,item,Food,newKey,Banana,,Banane
farmLifeBananaDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nEin leckerer Snack, gut für die Augen!"
Bananna Bread,,item,Food,newKey,Bananna Bread,,Bananenbrot
farmLifeBanannaBreadDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Pyrex Bakeware on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nWird in der Backform auf dem Gasofen gebacken. Theo macht dir ein leckeres Bananenbrot!"
Bananna Bread Step 1,,item,Food,newKey,Bananna Bread Step 1,,Bananenbrot (Schritt 1)
farmLifeBanannaBreadStep1Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nFür Stufe 1 benötigtst du die Rührschüssel und die Küchenmaschine."
Bananna Bread Step 2,,item,Food,newKey,Bananna Bread Step 2,,Bananenbrot (Schritt 2)
farmLifeBanannaBreadStep2Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nFür Stufe 1 benötigtst du die Rührschüssel und die Küchenmaschine."
Barley,,item,Food,newKey,Barley,,Gerste
farmLifeBarleyDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nGerste, was gibt es da noch zu sagen?"
Barley Malt,,item,Food,newKey,Barley Malt,,Gerstenmalz
farmLifeBarleyMaltDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Drying Pan on a Brew Cooker. Malt is an essential ingredient for brewing beer and spirits.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenötigt die Trockenpfanne auf dem Brühkocher. Malz ist eine der Hauptzutaten fürs Bier brauen und Schnaps machen."
Basil,,item,Food,newKey,Basil,,Basilikum
farmLifeBasilDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBasilikum, bekannt bei Groß und klein."
Bechamel,,item,Food,newKey,Bechamel,,Bechamel Sauce
farmLifeBechamelDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cooking Pot on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nWird im Kochtopf auf dem Gasofen gekocht. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Beef Chili,,item,Food,newKey,Beef Chili,,Chilifleisch
farmLifeBeefChiliDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Ceramic Dutch Oven on a Wood Grill. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nStelle den Keramikdopf auf den Holzgrill. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Beef Chili Step 1,,item,Food,newKey,Beef Chili Step 1,,Chilifleisch (Schritt 1)
farmLifeBeefChiliStep1Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Ceramic Dutch Oven on a Wood Grill. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nStelle den Keramikdopf auf den Holzgrill. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Beef Chili Step 2,,item,Food,newKey,Beef Chili Step 2,,Chilifleisch (Schritt 2)
farmLifeBeefChiliStep2Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Ceramic Dutch Oven on a Wood Grill. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nStelle den Keramikdopf auf den Holzgrill. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Beef Chili Step 3,,item,Food,newKey,Beef Chili Step 3,,Chilifleisch (Schritt 3)
farmLifeBeefChiliStep3Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nAn ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nEine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Beef Taco,,item,Food,newKey,Beef Taco,,Fleischtaco
farmLifeBeefTacoDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cast Iron Skillet with a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze die Gusseiserne Pfanne auf dem Gasofen. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Beer Cheap,,item,Food,newKey,Beer Cheap,,Billiges Bier
farmLifeBeerCheapDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Bottle Capper on a Brew Station. Libations will get you going but please use responsibly. Death can occur from overuse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze das Kronkorkenwerkzeug in der Braustation. Bringt dich in Schwung, kann dich aber auch töten!"
Beer Cheap Mash,,item,Food,newKey,Beer Cheap Mash,,"Billige Biermaische"
farmLifeBeerCheapMashDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Masher on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze den Stampfer auf dem Hackbrett. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Beer Cheap Raw,,item,Food,newKey,Beer Cheap Raw,,"Rohes, billiges Bier"
farmLifeBeerCheapRawDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Carboy on a Brew Station. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenötigt die Ballonflasche und die Braustation. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Beer Cheap Wort,,item,Food,newKey,Beer Cheap Worth,,Billige Bierwürze
farmLifeBeerCheapWortDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Boiler on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze den Kocher auf dem Brühkocher. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Beer Double IPA,,item,Food,newKey,Beer Double IPA,,Doppel-Imperial Bier
farmLifeBeerDoubleIPADesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Bottle Capper on a Brew Station. Libations will get you going but please use responsibly. Death can occur from overuse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze das Kronkorkenwerkzeug in der Braustation. Bringt dich in Schwung, kann dich aber auch töten!"
Beer IPA,,item,Food,newKey,Beer IPA,,Imperialbier
